cluster,rank,gene,symbol,description,logFC,padj
0,1,PGEN_.00g184200,CYC1,Cytochrome c1 heme protein mitochondrial,0.44,0.9999899132389267
0,2,PGEN_.00g316310,,,0.29,0.9999899132389267
0,3,PGEN_.00g056220,,,0.21,0.9999899132389267
0,4,PGEN_.00g130250,RPL6,60S ribosomal protein L6,0.24,0.9999899132389267
0,5,PGEN_.00g253870,SLBP,Histone RNA hairpin-binding protein,0.23,0.9999899132389267
0,6,PGEN_.00g156700,RPS11,40S ribosomal protein S11,0.24,0.9999899132389267
0,7,PGEN_.00g122880,RPS25,40S ribosomal protein S25,0.26,0.9999899132389267
0,8,PGEN_.00g187730,cdt1,DNA replication factor Cdt1,0.27,0.9999899132389267
0,9,PGEN_.00g031190,,Elongation factor 1-gamma,0.34,0.9999899132389267
0,10,PGEN_.00g309420,RpS8,40S ribosomal protein S8,0.22,0.9999899132389267
0,11,PGEN_.00g153200,RPL32,60S ribosomal protein L32,0.28,0.9999899132389267
0,12,PGEN_.00g175190,RAB2,Ras-related protein Rab-2,0.25,0.9999899132389267
0,13,PGEN_.00g047700,ATFC,Activating transcription factor of chaperone,0.28,0.9999899132389267
0,14,PGEN_.00g329160,RPS26,40S ribosomal protein S26,0.23,0.9999899132389267
0,15,PGEN_.00g303290,smndc1,Survival of motor neuron-related-splicing factor 30,0.32,0.9999899132389267
1,1,PGEN_.00g014610,Srsf4,Serine/arginine-rich splicing factor 4,0.25,0.9999936734757471
1,2,PGEN_.00g190160,PPP4R1,Serine/threonine-protein phosphatase 4 regulatory subunit 1,0.51,0.9999936734757471
1,3,PGEN_.00g004020,TFAP2A,Transcription factor AP-2-alpha,0.59,0.9999936734757471
1,4,PGEN_.00g103530,RPS3,40S ribosomal protein S3,0.3,0.9999936734757471
1,5,PGEN_.00g024500,PPP2R5D,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,0.31,0.9999936734757471
1,6,PGEN_.00g082730,Ckap2,Cytoskeleton-associated protein 2,0.34,0.9999936734757471
1,7,PGEN_.00g188720,PRPF4B,Serine/threonine-protein kinase PRP4 homolog,0.3,0.9999936734757471
1,8,PGEN_.00g133300,kif22,Kinesin-like protein KIF22,0.4,0.9999936734757471
1,9,PGEN_.00g025890,EIF3K,Eukaryotic translation initiation factor 3 subunit K,0.41,0.9999936734757471
1,10,PGEN_.00g080510,ovo,Transcriptional activator shavenbaby,0.43,0.9999936734757471
1,11,PGEN_.00g118690,NACA,Nascent polypeptide-associated complex subunit alpha,0.29,0.9999936734757471
1,12,PGEN_.00g254000,RPL26,60S ribosomal protein L26,0.28,0.9999936734757471
1,13,PGEN_.00g019340,LBR,Delta(14)-sterol reductase LBR,0.32,0.9999936734757471
1,14,PGEN_.00g018860,SNW1,SNW domain-containing protein 1,0.29,0.9999936734757471
1,15,PGEN_.00g070350,CCND2,G1/S-specific cyclin-D2,0.34,0.9999936734757471
2,1,PGEN_.00g290540,ARL3,ADP-ribosylation factor-like protein 3,0.53,0.9999857804421685
2,2,PGEN_.00g345530,PSIP1,PC4 and SFRS1-interacting protein,0.43,0.9999857804421685
2,3,PGEN_.00g088980,Zdhhc2,Palmitoyltransferase ZDHHC2,0.58,0.9999857804421685
2,4,PGEN_.00g036410,Phf6,PHD finger protein 6,0.52,0.9999857804421685
2,5,PGEN_.00g176230,Acin1,Apoptotic chromatin condensation inducer in the nucleus,0.44,0.9999857804421685
2,6,PGEN_.00g135640,,,0.23,0.9999857804421685
2,7,PGEN_.00g267520,,,0.52,0.9999857804421685
2,8,PGEN_.00g274820,FMNL2,Formin-like protein 2,0.35,0.9999857804421685
2,9,PGEN_.00g111970,KMT2C,Histone-lysine N-methyltransferase 2C,0.35,0.9999857804421685
2,10,PGEN_.00g278620,Cdk5rap2,CDK5 regulatory subunit-associated protein 2,0.35,0.9999857804421685
2,11,PGEN_.00g024590,Fit1,Unc-112-related protein,0.35,0.9999857804421685
2,12,PGEN_.00g206070,Bicd2,Protein bicaudal D homolog 2,0.34,0.9999857804421685
2,13,PGEN_.00g119890,,,0.38,0.9999857804421685
