cluster,rank,gene,symbol,description,logFC,padj
2,14,PGEN_.00g300020,PABPC4,Polyadenylate-binding protein 4,0.28,0.9999857804421685
2,15,PGEN_.00g291180,Prpf38b,Pre-mRNA-splicing factor 38B,0.36,0.9999857804421685
3,1,PGEN_.00g287540,RPL5,60S ribosomal protein L5,0.52,0.9999917041519107
3,2,PGEN_.00g024590,Fit1,Unc-112-related protein,0.49,0.9999917041519107
3,3,PGEN_.00g054930,,Histone H1 gonadal,0.57,0.9999917041519107
3,4,PGEN_.00g302330,YWHAG,14-3-3 protein gamma N-terminally processed,0.52,0.9999917041519107
3,5,PGEN_.00g044880,RpS15Aa,40S ribosomal protein S15a,0.49,0.9999917041519107
3,6,PGEN_.00g064220,Zfp82,Zinc finger protein 82,0.55,0.9999917041519107
3,7,PGEN_.00g143600,taok1-b,Serine/threonine-protein kinase TAO1-B,0.48,0.9999917041519107
3,8,PGEN_.00g125750,MDM2,E3 ubiquitin-protein ligase Mdm2,0.54,0.9999917041519107
3,9,PGEN_.00g310720,rpl-7,60S ribosomal protein L7,0.28,0.9999917041519107
3,10,PGEN_.00g216050,,,0.45,0.9999917041519107
3,11,PGEN_.00g160610,RPS5,40S ribosomal protein S5 N-terminally processed,0.3,0.9999917041519107
3,12,PGEN_.00g306720,Pask,PAS domain-containing serine/threonine-protein kinase,0.6,0.9999917041519107
3,13,PGEN_.00g331860,CWC22,Pre-mRNA-splicing factor CWC22 homolog,0.34,0.9999917041519107
3,14,PGEN_.00g179160,zbtb24,Zinc finger and BTB domain-containing protein 24,0.62,0.9999917041519107
3,15,PGEN_.00g052400,RACK1,Receptor of activated protein C kinase 1,0.32,0.9999917041519107
4,1,PGEN_.00g058030,RpS24,40S ribosomal protein S24,0.5,0.9999462807461486
4,2,PGEN_.00g187730,cdt1,DNA replication factor Cdt1,0.41,0.9999462807461486
4,3,PGEN_.00g089810,AKAP17A,A-kinase anchor protein 17A,0.62,0.9999462807461486
4,4,PGEN_.00g254020,NOP56,Nucleolar protein 56,0.36,0.9999462807461486
4,5,PGEN_.00g028390,ubq-2,60S ribosomal protein L40,0.31,0.9999462807461486
4,6,PGEN_.00g037230,Ppan,Suppressor of SWI4 1 homolog,0.53,0.9999462807461486
4,7,PGEN_.00g125760,fbl,rRNA 2'-O-methyltransferase fibrillarin,0.61,0.9999462807461486
4,8,PGEN_.00g009440,ANXA7,Annexin A7,0.49,0.9999462807461486
4,9,PGEN_.00g270500,COBLL1,Cordon-bleu protein-like 1,0.36,0.9999462807461486
4,10,PGEN_.00g198490,Znf608,Zinc finger protein 608,0.35,0.9999462807461486
4,11,PGEN_.00g030990,Baz1a,Bromodomain adjacent to zinc finger domain protein 1A,0.57,0.9999462807461486
4,12,PGEN_.00g053840,Ddx21,Nucleolar RNA helicase 2,0.47,0.9999462807461486
4,13,PGEN_.00g245080,eif3a,Eukaryotic translation initiation factor 3 subunit A,0.4,0.9999462807461486
4,14,PGEN_.00g212070,tsr1,Pre-rRNA-processing protein TSR1 homolog,0.47,0.9999462807461486
4,15,PGEN_.00g144570,RPH3AL,Rab effector Noc2,0.36,0.9999462807461486
5,1,PGEN_.00g025170,cfap36,Cilia- and flagella-associated protein 36,0.4,1.0
5,2,PGEN_.00g075040,PLD1,Phospholipase D1,0.43,1.0
5,3,PGEN_.00g232340,Ankmy1,Ankyrin repeat and MYND domain-containing protein 1,0.73,1.0
5,4,PGEN_.00g274590,TUBA3D,Detyrosinated tubulin alpha-3D chain,0.34,1.0
5,5,PGEN_.00g145040,NCBP3,Nuclear cap-binding protein subunit 3,0.32,1.0
5,6,PGEN_.00g085450,,,0.55,1.0
5,7,PGEN_.00g133000,,,0.29,1.0
5,8,PGEN_.00g058850,ARHGAP20,Rho GTPase-activating protein 20,0.28,1.0
5,9,PGEN_.00g312490,ttc39c,Tetratricopeptide repeat protein 39C,0.39,1.0
5,10,PGEN_.00g157790,ELOVL4,Elongation of very long chain fatty acids protein 4,0.46,1.0
5,11,PGEN_.00g294670,ABCA2,ATP-binding cassette sub-family A member 2,0.64,1.0
5,12,PGEN_.00g142260,PPM1E,Protein phosphatase 1E,0.39,1.0
5,13,PGEN_.00g132230,,,0.46,1.0
5,14,PGEN_.00g048730,ctp,Dynein light chain 1 cytoplasmic,0.27,1.0
5,15,PGEN_.00g070750,Dnah5,Dynein axonemal heavy chain 5,0.35,1.0
6,1,PGEN_.00g049520,Dlg5,Disks large homolog 5,0.45,0.9999885657810558
6,2,PGEN_.00g257110,KDM3A,Lysine-specific demethylase 3A,0.26,0.9999885657810558
6,3,PGEN_.00g051540,USP54,Inactive ubiquitin carboxyl-terminal hydrolase 54,0.45,0.9999885657810558
6,4,PGEN_.00g009660,Ptbp1,Polypyrimidine tract-binding protein 1,0.43,0.9999885657810558
6,5,PGEN_.00g058850,ARHGAP20,Rho GTPase-activating protein 20,0.32,0.9999885657810558
6,6,PGEN_.00g305430,FOS-FOX,Transforming protein v-Fos/v-Fox,0.38,0.9999885657810558
6,7,PGEN_.00g257090,JMJD1C,Probable JmjC domain-containing histone demethylation protein 2C,0.37,0.9999885657810558
6,8,PGEN_.00g228590,Kpna3,Importin subunit alpha-4,0.29,0.9999885657810558
6,9,PGEN_.00g022770,Kif26a,Kinesin-like protein KIF26A,0.43,0.9999885657810558
6,10,PGEN_.00g141830,Ncor1,Nuclear receptor corepressor 1,0.36,0.9999885657810558
6,11,PGEN_.00g316050,,,0.34,0.9999885657810558
6,12,PGEN_.00g080200,,V-type proton ATPase 16 kDa proteolipid subunit c,0.34,0.9999885657810558
6,13,PGEN_.00g329010,SSB,Lupus La protein homolog,0.29,0.9999885657810558
6,14,PGEN_.00g242500,TTC31,Tetratricopeptide repeat protein 31,0.27,0.9999885657810558
6,15,PGEN_.00g184910,PHF20L1,PHD finger protein 20-like protein 1,0.59,0.9999885657810558
7,1,PGEN_.00g155960,KIF21A,Kinesin-like protein KIF21A,0.74,0.9999738486827685
7,2,PGEN_.00g111970,KMT2C,Histone-lysine N-methyltransferase 2C,0.46,0.9999738486827685
7,3,PGEN_.00g233540,TFDP1,Transcription factor Dp-1,0.45,0.9999738486827685
7,4,PGEN_.00g139170,,,0.28,0.9999738486827685
7,5,PGEN_.00g274200,AKAP9,A-kinase anchor protein 9,0.39,0.9999738486827685
7,6,PGEN_.00g078260,Sec63,Translocation protein SEC63 homolog,0.45,0.9999738486827685
7,7,PGEN_.00g149360,Zfp69,Zinc finger protein 69,0.76,0.9999738486827685
7,8,PGEN_.00g031190,,Elongation factor 1-gamma,0.41,0.9999738486827685
7,9,PGEN_.00g306800,Satb2,DNA-binding protein SATB2,0.47,0.9999738486827685
7,10,PGEN_.00g068750,Arl13b,ADP-ribosylation factor-like protein 13B,0.39,0.9999738486827685
7,11,PGEN_.00g181160,,,0.74,0.9999738486827685
7,12,PGEN_.00g019200,NOVA1,RNA-binding protein Nova-1,0.33,0.9999738486827685
7,13,PGEN_.00g251320,HEATR4,HEAT repeat-containing protein 4,0.56,0.9999738486827685
7,14,PGEN_.00g020110,ZNF318,Zinc finger protein 318,0.45,0.9999738486827685
7,15,PGEN_.00g120810,CUL1,Cullin-1,0.63,0.9999738486827685
8,1,PGEN_.00g001200,KHDRBS1,KH domain-containing RNA-binding signal transduction-associated protein 1,0.26,0.9999885561715167
8,2,PGEN_.00g095530,Ppid,Peptidyl-prolyl cis-trans isomerase D,0.39,0.9999885561715167
8,3,PGEN_.00g109130,RpL23,60S ribosomal protein L23,0.27,0.9999885561715167
8,4,PGEN_.00g313780,phtf,Protein phtf,0.33,0.9999885561715167
8,5,PGEN_.00g046510,,,0.22,0.9999885561715167
8,6,PGEN_.00g228590,Kpna3,Importin subunit alpha-4,0.22,0.9999885561715167
8,7,PGEN_.00g339180,ROCK1,Rho-associated protein kinase 1,0.37,0.9999885561715167
8,8,PGEN_.00g303310,CLK2,Dual specificity protein kinase CLK2,0.28,0.9999885561715167
8,9,PGEN_.00g052400,RACK1,Receptor of activated protein C kinase 1,0.22,0.9999885561715167
8,10,PGEN_.00g070490,Patl1,Protein PAT1 homolog 1,0.36,0.9999885561715167
8,11,PGEN_.00g139900,,,0.51,0.9999885561715167
8,12,PGEN_.00g080200,,V-type proton ATPase 16 kDa proteolipid subunit c,0.3,0.9999885561715167
8,13,PGEN_.00g189090,RPL14,60S ribosomal protein L14,0.21,0.9999885561715167
8,14,PGEN_.00g029570,Tango1,Transport and Golgi organization protein 1,0.27,0.9999885561715167
8,15,PGEN_.00g163340,RPL12,60S ribosomal protein L12,0.21,0.9999885561715167
9,1,PGEN_.00g190200,mep-1,MOG interacting and ectopic P-granules protein 1,0.49,0.9999534314794067
9,2,PGEN_.00g216640,ubq-1,Ubiquitin-related,0.37,0.9999534314794067
9,3,PGEN_.00g019330,COF1,Cofilin,0.4,0.9999534314794067
9,4,PGEN_.00g130250,RPL6,60S ribosomal protein L6,0.38,0.9999534314794067
9,5,PGEN_.00g184290,Aurka,Aurora kinase A,0.53,0.9999534314794067
9,6,PGEN_.00g143590,NLK,Serine/threonine-protein kinase NLK,0.39,0.9999534314794067
9,7,PGEN_.00g291940,Rpl28,60S ribosomal protein L28,0.38,0.9999534314794067
9,8,PGEN_.00g003050,NADK2,NAD kinase 2 mitochondrial,0.57,0.9999534314794067
9,9,PGEN_.00g219460,ATP2B2,Plasma membrane calcium-transporting ATPase 2,0.29,0.9999534314794067
9,10,PGEN_.00g263030,sf3b1,Splicing factor 3B subunit 1,0.34,0.9999534314794067
9,11,PGEN_.00g301730,uspl1,SUMO-specific isopeptidase USPL1,0.6,0.9999534314794067
9,12,PGEN_.00g048520,Gtpbp1,GTP-binding protein 1,0.56,0.9999534314794067
9,13,PGEN_.00g229190,rpl8,60S ribosomal protein L8,0.35,0.9999534314794067
9,14,PGEN_.00g253870,SLBP,Histone RNA hairpin-binding protein,0.33,0.9999534314794067
9,15,PGEN_.00g037070,ATF7IP,Activating transcription factor 7-interacting protein 1,0.41,0.9999534314794067
10,1,PGEN_.00g076500,SCAF8,SR-related and CTD-associated factor 8,0.26,0.9999937708072518
10,2,PGEN_.00g204770,Zfp37,Zinc finger protein 37,0.32,0.9999937708072518
10,3,PGEN_.00g199600,hil-6,Putative histone H1.6,0.3,0.9999937708072518
10,4,PGEN_.00g059610,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,0.18,0.9999937708072518
10,5,PGEN_.00g272490,,,0.3,0.9999937708072518
10,6,PGEN_.00g260470,ABCF2,ATP-binding cassette sub-family F member 2,0.31,0.9999937708072518
10,7,PGEN_.00g002380,,,0.34,0.9999937708072518
10,8,PGEN_.00g189130,TPX2,Targeting protein for Xklp2 homolog,0.27,0.9999937708072518
10,9,PGEN_.00g334080,,,0.63,0.9999937708072518
10,10,PGEN_.00g037960,USP43,Ubiquitin carboxyl-terminal hydrolase 43,0.48,0.9999937708072518
10,11,PGEN_.00g115060,EIF4B,Eukaryotic translation initiation factor 4B,0.39,0.9999937708072518
10,12,PGEN_.00g316780,GIGYF2,GRB10-interacting GYF protein 2,0.31,0.9999937708072518
10,13,PGEN_.00g227320,STAG1,Cohesin subunit SA-1,0.36,0.9999937708072518
10,14,PGEN_.00g239680,TRIP12,E3 ubiquitin-protein ligase TRIP12,0.32,0.9999937708072518
10,15,PGEN_.00g276380,Prrc2c,Protein PRRC2C,0.29,0.9999937708072518
11,1,PGEN_.00g141830,Ncor1,Nuclear receptor corepressor 1,0.44,1.0
11,2,PGEN_.00g140050,,,0.42,1.0
11,3,PGEN_.00g201410,cox-5A,Cytochrome c oxidase subunit 5A mitochondrial,0.34,1.0
11,4,PGEN_.00g342770,DNAJA1,DnaJ homolog subfamily A member 1,0.35,1.0
11,5,PGEN_.00g282230,Khsrp,Far upstream element-binding protein 2,0.2,1.0
11,6,PGEN_.00g260750,CERS5,Ceramide synthase 5,0.25,1.0
11,7,PGEN_.00g338370,unc-7,Innexin unc-7,0.22,1.0
11,8,PGEN_.00g036390,ATPsynD,ATP synthase subunit d mitochondrial,0.4,1.0
11,9,PGEN_.00g109130,RpL23,60S ribosomal protein L23,0.21,1.0
11,10,PGEN_.00g070530,rpl24,60S ribosomal protein L24,0.24,1.0
11,11,PGEN_.00g110580,RpL40,60S ribosomal protein L40,0.29,1.0
11,12,PGEN_.00g055700,tekt4,Tektin-4,0.33,1.0
11,13,PGEN_.00g236850,TSPAN7,Tetraspanin-7,0.43,1.0
11,14,PGEN_.00g189090,RPL14,60S ribosomal protein L14,0.19,1.0
11,15,PGEN_.00g129760,tlcd2,TLC domain-containing protein 2,0.43,1.0
12,1,PGEN_.00g315740,,,0.66,0.999908691583983
12,2,PGEN_.00g287490,RPL7A,60S ribosomal protein L7a,0.26,0.999908691583983
12,3,PGEN_.00g346200,Secisbp2l,Selenocysteine insertion sequence-binding protein 2-like,0.52,0.999908691583983
12,4,PGEN_.00g233540,TFDP1,Transcription factor Dp-1,0.3,0.999908691583983
12,5,PGEN_.00g014110,Dnaaf10,Dynein axonemal assembly factor 10,0.45,0.999908691583983
12,6,PGEN_.00g094700,,,0.28,0.999908691583983
12,7,PGEN_.00g059690,meaf6,Chromatin modification-related protein MEAF6,0.25,0.999908691583983
12,8,PGEN_.00g304170,SALL1,Sal-like protein 1,0.37,0.999908691583983
12,9,PGEN_.00g192320,ugcg,Ceramide glucosyltransferase,0.69,0.999908691583983
12,10,PGEN_.00g263030,sf3b1,Splicing factor 3B subunit 1,0.23,0.999908691583983
12,11,PGEN_.00g132570,RABGEF1,Rab5 GDP/GTP exchange factor,0.47,0.999908691583983
12,12,PGEN_.00g057700,MCRIP2,MAPK regulated corepressor interacting protein 2,0.24,0.999908691583983
12,13,PGEN_.00g276380,Prrc2c,Protein PRRC2C,0.13,0.999908691583983
12,14,PGEN_.00g026380,PSME4,Proteasome activator complex subunit 4,0.41,0.999908691583983
12,15,PGEN_.00g273210,,ATP synthase subunit beta mitochondrial,0.64,0.999908691583983
13,1,PGEN_.00g201410,cox-5A,Cytochrome c oxidase subunit 5A mitochondrial,0.38,0.999976614114777
13,2,PGEN_.00g259150,Rgs12,Regulator of G-protein signaling 12,0.43,0.999976614114777
13,3,PGEN_.00g151230,THSD7A,Thrombospondin type-1 domain-containing protein 7A soluble form,0.39,0.999976614114777
13,4,PGEN_.00g025890,EIF3K,Eukaryotic translation initiation factor 3 subunit K,0.42,0.999976614114777
13,5,PGEN_.00g069920,Cep57,Centrosomal protein of 57 kDa,0.38,0.999976614114777
13,6,PGEN_.00g074330,RPL44,60S ribosomal protein L44,0.41,0.999976614114777
13,7,PGEN_.00g003050,NADK2,NAD kinase 2 mitochondrial,0.55,0.999976614114777
13,8,PGEN_.00g120190,CFAP91,Cilia- and flagella-associated protein 91,0.43,0.999976614114777
13,9,PGEN_.00g122110,PCBP3,Poly(rC)-binding protein 3,0.29,0.999976614114777
13,10,PGEN_.00g110440,SHMT2,Serine hydroxymethyltransferase mitochondrial,0.31,0.999976614114777
13,11,PGEN_.00g179110,UBE2C,Ubiquitin-conjugating enzyme E2 C,0.22,0.999976614114777
13,12,PGEN_.00g045220,TUBA3D,Detyrosinated tubulin alpha-3D chain,0.24,0.999976614114777
13,13,PGEN_.00g162840,Fam199x,Protein FAM199X,0.38,0.999976614114777
13,14,PGEN_.00g049270,,Uncharacterized protein C2orf81 homolog,0.39,0.999976614114777
13,15,PGEN_.00g014260,FSIP1,Fibrous sheath-interacting protein 1,0.36,0.999976614114777
14,1,PGEN_.00g155740,nrf-6,Nose resistant to fluoxetine protein 6,0.47,0.9999872933743689
14,2,PGEN_.00g041430,Mat2a,S-adenosylmethionine synthase isoform type-2,0.26,0.9999872933743689
14,3,PGEN_.00g005480,NFIA,Nuclear factor 1 A-type,0.47,0.9999872933743689
14,4,PGEN_.00g243190,ALMS1,Alstrom syndrome protein 1,0.35,0.9999872933743689
14,5,PGEN_.00g122110,PCBP3,Poly(rC)-binding protein 3,0.18,0.9999872933743689
14,6,PGEN_.00g332760,NME8,Thioredoxin domain-containing protein 3 homolog,0.41,0.9999872933743689
14,7,PGEN_.00g145470,CIT,Citron Rho-interacting kinase,0.25,0.9999872933743689
14,8,PGEN_.00g014720,DNAL1,Dynein axonemal light chain 1,0.44,0.9999872933743689
14,9,PGEN_.00g276380,Prrc2c,Protein PRRC2C,0.18,0.9999872933743689
14,10,PGEN_.00g055700,tekt4,Tektin-4,0.29,0.9999872933743689
14,11,PGEN_.00g202790,Ash1l,Histone-lysine N-methyltransferase ASH1L,0.18,0.9999872933743689
14,12,PGEN_.00g073410,,,0.34,0.9999872933743689
14,13,PGEN_.00g183200,GAS8,Dynein regulatory complex subunit 4,0.26,0.9999872933743689
14,14,PGEN_.00g191960,,Dynein intermediate chain 2 ciliary,0.29,0.9999872933743689
14,15,PGEN_.00g079650,FAM47A,Protein FAM47A,0.4,0.9999872933743689
15,1,PGEN_.00g133000,,,0.44,0.9998985919862315
15,2,PGEN_.00g019330,COF1,Cofilin,0.39,0.9998985919862315
15,3,PGEN_.00g199500,Ubqln1,Ubiquilin-1,0.45,0.9998985919862315
15,4,PGEN_.00g224610,PIM3,Serine/threonine-protein kinase pim-3,0.22,0.9998985919862315
15,5,PGEN_.00g017930,Ppp4r3a,Serine/threonine-protein phosphatase 4 regulatory subunit 3A,0.37,0.9998985919862315
15,6,PGEN_.00g274350,Arf79F,ADP-ribosylation factor 1,0.37,0.9998985919862315
15,7,PGEN_.00g065130,,,0.34,0.9998985919862315
15,8,PGEN_.00g086070,glyr1,Putative oxidoreductase GLYR1,0.3,0.9998985919862315
15,9,PGEN_.00g119380,Smarcc2,SWI/SNF complex subunit SMARCC2,0.22,0.9998985919862315
15,10,PGEN_.00g142540,XBP1,X-box-binding protein 1 luminal form,0.49,0.9998985919862315
15,11,PGEN_.00g047700,ATFC,Activating transcription factor of chaperone,0.21,0.9998985919862315
15,12,PGEN_.00g139170,,,0.21,0.9998985919862315
15,13,PGEN_.00g299160,NDUFV1,NADH dehydrogenase [ubiquinone] flavoprotein 1 mitochondrial,0.46,0.9998985919862315
15,14,PGEN_.00g245330,,,0.28,0.9998985919862315
15,15,PGEN_.00g329160,RPS26,40S ribosomal protein S26,0.16,0.9998985919862315
16,1,PGEN_.00g098840,,,0.5,0.9999165794932141
16,2,PGEN_.00g016290,Mark3,MAP/microtubule affinity-regulating kinase 3,0.37,0.9999165794932141
16,3,PGEN_.00g068100,PSPC1,Paraspeckle component 1,0.18,0.9999165794932141
16,4,PGEN_.00g334730,UBE2E1,Ubiquitin-conjugating enzyme E2 E1,0.37,0.9999165794932141
16,5,PGEN_.00g119380,Smarcc2,SWI/SNF complex subunit SMARCC2,0.28,0.9999165794932141
16,6,PGEN_.00g221300,ari-2,Potential E3 ubiquitin-protein ligase ariadne-2,0.42,0.9999165794932141
16,7,PGEN_.00g051500,Ppp3cb,Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform,0.46,0.9999165794932141
16,8,PGEN_.00g016570,CDC42BPA,Serine/threonine-protein kinase MRCK alpha,0.31,0.9999165794932141
16,9,PGEN_.00g208100,arf4,ADP-ribosylation factor 4,0.57,0.9999165794932141
16,10,PGEN_.00g060140,MAP3K4,Mitogen-activated protein kinase kinase kinase 4,0.3,0.9999165794932141
16,11,PGEN_.00g237080,TNIK,TRAF2 and NCK-interacting protein kinase,0.33,0.9999165794932141
16,12,PGEN_.00g215950,,,0.37,0.9999165794932141
16,13,PGEN_.00g086540,RPL21,60S ribosomal protein L21,0.27,0.9999165794932141
16,14,PGEN_.00g288850,mec-2,Mechanosensory protein 2,0.35,0.9999165794932141
16,15,PGEN_.00g103430,LMO7,LIM domain only protein 7,0.36,0.9999165794932141
17,1,PGEN_.00g073720,Ift88,Intraflagellar transport protein 88 homolog,0.99,0.9999665638998068
17,2,PGEN_.00g070910,Zmym4,Zinc finger MYM-type protein 4,0.55,0.9999665638998068
17,3,PGEN_.00g008090,,,0.8,0.9999665638998068
17,4,PGEN_.00g245530,PUF60,Poly(U)-binding-splicing factor PUF60,1.09,0.9999665638998068
17,5,PGEN_.00g016910,zfp36l2,mRNA decay activator protein ZFP36L2,0.62,0.9999665638998068
17,6,PGEN_.00g304740,KIAA1958,Uncharacterized protein KIAA1958,0.79,0.9999665638998068
17,7,PGEN_.00g254410,,,0.47,0.9999665638998068
17,8,PGEN_.00g309520,EBAG9,Receptor-binding cancer antigen expressed on SiSo cells,0.61,0.9999665638998068
17,9,PGEN_.00g020110,ZNF318,Zinc finger protein 318,0.58,0.9999665638998068
17,10,PGEN_.00g346550,Anp32a,Acidic leucine-rich nuclear phosphoprotein 32 family member A,0.44,0.9999665638998068
17,11,PGEN_.00g110380,HLF,Hepatic leukemia factor,0.46,0.9999665638998068
17,12,PGEN_.00g098390,Ten-m,Teneurin-m,0.49,0.9999665638998068
17,13,PGEN_.00g347630,CELF4,CUGBP Elav-like family member 4,0.52,0.9999665638998068
17,14,PGEN_.00g027840,DICER1,Endoribonuclease Dicer,0.81,0.9999665638998068
17,15,PGEN_.00g134560,CadN,Neural-cadherin,0.61,0.9999665638998068
18,1,PGEN_.00g047870,Ddx17,Probable ATP-dependent RNA helicase DDX17,0.36,0.9999540025323593
18,2,PGEN_.00g183800,nsun2,RNA cytosine-C(5)-methyltransferase NSUN2,0.58,0.9999540025323593
18,3,PGEN_.00g040070,IQCE,IQ domain-containing protein E,0.62,0.9999540025323593
18,4,PGEN_.00g059610,HNRNPR,Heterogeneous nuclear ribonucleoprotein R,0.36,0.9999540025323593
18,5,PGEN_.00g049750,Hnrnpab,Heterogeneous nuclear ribonucleoprotein A/B,0.4,0.9999540025323593
18,6,PGEN_.00g259150,Rgs12,Regulator of G-protein signaling 12,0.48,0.9999540025323593
18,7,PGEN_.00g041380,RPS2,40S ribosomal protein S2,0.34,0.9999540025323593
18,8,PGEN_.00g072400,Fam76b,Protein FAM76B,0.44,0.9999540025323593
18,9,PGEN_.00g111800,Srpra,Signal recognition particle receptor subunit alpha,0.38,0.9999540025323593
18,10,PGEN_.00g135000,PITPNA,Phosphatidylinositol transfer protein alpha isoform,0.42,0.9999540025323593
18,11,PGEN_.00g162680,EIF4G2,Eukaryotic translation initiation factor 4 gamma 2,0.33,0.9999540025323593
18,12,PGEN_.00g014210,Clasrp,CLK4-associating serine/arginine rich protein,0.75,0.9999540025323593
18,13,PGEN_.00g273800,ZMYND11,Zinc finger MYND domain-containing protein 11,0.53,0.9999540025323593
18,14,PGEN_.00g074330,RPL44,60S ribosomal protein L44,0.46,0.9999540025323593
18,15,PGEN_.00g076470,Vbp1,Prefoldin subunit 3,0.59,0.9999540025323593
19,1,PGEN_.00g083570,PDS5B,Sister chromatid cohesion protein PDS5 homolog B,0.43,0.9999886039582417
19,2,PGEN_.00g068440,,,0.37,0.9999886039582417
19,3,PGEN_.00g329770,SVIL,Supervillin,0.47,0.9999886039582417
19,4,PGEN_.00g244930,Snrnp200,U5 small nuclear ribonucleoprotein 200 kDa helicase,0.36,0.9999886039582417
19,5,PGEN_.00g039750,,,0.43,0.9999886039582417
19,6,PGEN_.00g236840,WDR44,WD repeat-containing protein 44,0.37,0.9999886039582417
19,7,PGEN_.00g049520,Dlg5,Disks large homolog 5,0.36,0.9999886039582417
19,8,PGEN_.00g332180,Lrp1,Low-density lipoprotein receptor-related protein 1 intracellular domain,0.49,0.9999886039582417
19,9,PGEN_.00g013080,Hectd1,E3 ubiquitin-protein ligase HECTD1,0.55,0.9999886039582417
19,10,PGEN_.00g170350,RREB1,Ras-responsive element-binding protein 1,0.3,0.9999886039582417
19,11,PGEN_.00g255700,CLINT1,Clathrin interactor 1,0.37,0.9999886039582417
